panel_id	slug	title	pdf	svg	png	source_data	metadata	width_mm	height_mm	font_family	pdf_fonttype	svg_fonttype	svg_text_count	svg_path_count	pdffonts_status	rasterized_layers	source_data_rows	source_hashes	biological_message	caveat
fig1a	problem_schematic	False-positive problem in spatial CCI	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\pdf\fig1a_problem_schematic.pdf	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\svg\fig1a_problem_schematic.svg	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\png\fig1a_problem_schematic.png	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\source_data\fig1a_problem_schematic.tsv	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\metadata\fig1a_problem_schematic.json	180.0	65.0	Arial	42	none	11	9	pdffonts_not_available	False	4	{}	Spatial CCI needs orthogonal evidence beyond expression, database membership or proximity alone.	Schematic panel; source data records graphical elements.
fig1b	topolink_score_formula	TopoLink-CCI score formula	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\pdf\fig1b_topolink_score_formula.pdf	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\svg\fig1b_topolink_score_formula.svg	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\png\fig1b_topolink_score_formula.png	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\source_data\fig1b_topolink_score_formula.tsv	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\metadata\fig1b_topolink_score_formula.json	180.0	65.0	Arial	42	none	15	7	pdffonts_not_available	False	6	{}	The discovery score is a prior-weighted geometric mean of six diagnostic components.	Schematic formula uses editable text rather than math outlines.
fig1c	local_contact_model	Local contact model	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\pdf\fig1c_local_contact_model.pdf	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\svg\fig1c_local_contact_model.svg	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\png\fig1c_local_contact_model.png	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\source_data\fig1c_local_contact_model.tsv	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\metadata\fig1c_local_contact_model.json	85.0	65.0	Arial	42	none	3	9	pdffonts_not_available	False	12	{}	Local contact links candidate molecular axes to the actual cell-cell neighbor graph.	Schematic panel; source data records nodes and edges.
fig1d	validation_gate_map	Validation gate map	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\pdf\fig1d_validation_gate_map.pdf	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\svg\fig1d_validation_gate_map.svg	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\png\fig1d_validation_gate_map.png	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\source_data\fig1d_validation_gate_map.tsv	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\metadata\fig1d_validation_gate_map.json	180.0	65.0	Arial	42	none	22	25	pdffonts_not_available	False	6	{}	TopoLink-CCI reports candidates with controls inspired by established CCC methods.	Schematic mapping, not a claim of identical software reimplementation.
fig1e	evidence_matrix	Evidence matrix	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\pdf\fig1e_evidence_matrix.pdf	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\svg\fig1e_evidence_matrix.svg	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\png\fig1e_evidence_matrix.png	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\source_data\fig1e_evidence_matrix.tsv	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\metadata\fig1e_evidence_matrix.json	180.0	65.0	Arial	42	none	18	24	pdffonts_not_available	False	63	"{""D:\\GitHub\\pyXenium\\benchmarking\\cci_2026_atera\\pdc_validation_v2_collected\\topolink_cci_validation_v2\\tables\\topolink_cci_validation_v2_evidence.tsv"": ""d87a16edfce1c50e""}"	Seven representative TopoLink-CCI axes have strong computational support.	Orange marks are axis-specific weak evidence layers, not artifact-risk calls.
fig1f	false_positive_controls_quantitative	Quantitative false-positive controls	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\pdf\fig1f_false_positive_controls_quantitative.pdf	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\svg\fig1f_false_positive_controls_quantitative.svg	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\png\fig1f_false_positive_controls_quantitative.png	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\source_data\fig1f_false_positive_controls_quantitative.tsv	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\metadata\fig1f_false_positive_controls_quantitative.json	180.0	65.0	Arial	42	none	13	33	pdffonts_not_available	False	28	"{""D:\\GitHub\\pyXenium\\benchmarking\\cci_2026_atera\\pdc_validation_v2_collected\\topolink_cci_validation_v2\\tables\\topolink_cci_validation_v2_evidence.tsv"": ""d87a16edfce1c50e""}"	Representative axes pass multiple quantitative controls, not just the TopoLink-CCI score.	Bubble sizes use transformed metrics; raw values are in source data.
fig2a	whole_dataset_rank_landscape	Whole-dataset score landscape	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\pdf\fig2a_whole_dataset_rank_landscape.pdf	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\svg\fig2a_whole_dataset_rank_landscape.svg	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\png\fig2a_whole_dataset_rank_landscape.png	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\source_data\fig2a_whole_dataset_rank_landscape.tsv	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\metadata\fig2a_whole_dataset_rank_landscape.json	180.0	65.0	Arial	42	none	19	21	pdffonts_not_available	False	126	"{""D:\\GitHub\\pyXenium\\benchmarking\\cci_2026_atera\\pdc_collected\\pdc_20260426_1327\\runs\\full_common\\pyxenium\\pyxenium_scores.tsv"": ""7bb7f9fcf3d2c589"", ""D:\\GitHub\\pyXenium\\benchmarking\\cci_2026_atera\\pdc_validation_v2_collected\\topolink_cci_validation_v2\\tables\\topolink_cci_validation_v2_evidence.tsv"": ""d87a16edfce1c50e""}"	TopoLink-CCI ranks 1,319,600 whole-dataset candidate axes and highlights validated discoveries.	Histogram bins are source data; highlighted lines mark seven representative axes.
fig2b	top_interpretable_axes	Top interpretable axes	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\pdf\fig2b_top_interpretable_axes.pdf	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\svg\fig2b_top_interpretable_axes.svg	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\png\fig2b_top_interpretable_axes.png	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\source_data\fig2b_top_interpretable_axes.tsv	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\metadata\fig2b_top_interpretable_axes.json	85.0	65.0	Arial	42	none	26	22	pdffonts_not_available	False	7	"{""D:\\GitHub\\pyXenium\\benchmarking\\cci_2026_atera\\pdc_validation_v2_collected\\topolink_cci_validation_v2\\tables\\topolink_cci_validation_v2_evidence.tsv"": ""d87a16edfce1c50e""}"	High-scoring axes span vascular, immune, stromal, Notch and tumor-intrinsic biology.	
fig2c	vwf_selp_component_decomposition	VWF-SELP component decomposition	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\pdf\fig2c_vwf_selp_component_decomposition.pdf	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\svg\fig2c_vwf_selp_component_decomposition.svg	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\png\fig2c_vwf_selp_component_decomposition.png	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\source_data\fig2c_vwf_selp_component_decomposition.tsv	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\metadata\fig2c_vwf_selp_component_decomposition.json	85.0	65.0	Arial	42	none	17	19	pdffonts_not_available	False	6	"{""D:\\GitHub\\pyXenium\\benchmarking\\cci_2026_atera\\vwf_selp_deep_dive\\tables\\component_decomposition.tsv"": ""6f0b1eacf87f74cf""}"	The lead endothelial axis combines topology, expression and local contact support.	
fig2d	vwf_selp_rank_sensitivity	VWF-SELP rank sensitivity	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\pdf\fig2d_vwf_selp_rank_sensitivity.pdf	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\svg\fig2d_vwf_selp_rank_sensitivity.svg	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\png\fig2d_vwf_selp_rank_sensitivity.png	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\source_data\fig2d_vwf_selp_rank_sensitivity.tsv	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\figures\panels\metadata\fig2d_vwf_selp_rank_sensitivity.json	85.0	65.0	Arial	42	none	19	14	pdffonts_not_available	False	10	"{""D:\\GitHub\\pyXenium\\benchmarking\\cci_2026_atera\\vwf_selp_deep_dive\\tables\\rank_sensitivity.tsv"": ""efddedb339329d7b""}"	Component perturbations test whether the top axis is driven by one isolated term.	
