dataset	method	status	evidence_level	phase	database_mode	remote_or_local_path	n_rows	current_job_id	notes
atera_breast_wta	TopoLink-CCI	full_result	main	full	common-db	pdc_collected/pdc_20260426_1327/runs/full_common/pyxenium	1319600		Primary PDC clean full-common result.
atera_breast_wta	CellPhoneDB	full_result	main	full	common-db	pdc_collected/pdc_20260426_1327/runs/full_common/cellphonedb			Primary non-spatial baseline in final comparison.
atera_breast_wta	LARIS	full_result	main	full	common-db	pdc_collected/pdc_20260426_1327/runs/full_common/laris			Primary diffusion/spatial-smoothing comparison method.
atera_breast_wta	LIANA+	full_result	main	full	common-db	pdc_collected/pdc_20260426_1327/runs/full_common/liana			Primary spatial bivariate comparison method.
atera_breast_wta	SpatialDM	full_result	main	full	common-db	pdc_collected/pdc_20260426_1327/runs/full_common/spatialdm			Primary spatial autocorrelation comparison method.
atera_breast_wta	stLearn	full_result	main	full	common-db	pdc_collected/pdc_20260426_1327/runs/full_common/stlearn			Primary spatial CCI comparison method.
atera_breast_wta	Squidpy	full_result	main	full	common-db	runs/a100_collected/full_common/squidpy	1319600		A100 full result; keep as completed, do not rerun.
atera_breast_wta	CellChat	full_result	appendix/full	full	common	/data/taobo.hu/pyxenium_lr_benchmark_2026-04/runs/full_common/cellchat_conda_full	31592		LR-only full result with pathway step disabled because of known pathway runtime bug.
atera_breast_wta	COMMOT	full_result	appendix/full	full	common-db	/data/taobo.hu/pyxenium_lr_benchmark_2026-04/runs/final_closeout_20260511/pdc_commot/commot_standardized.tsv.gz	724604		PDC 16/16 chunks completed and were merged under final_closeout_20260511.
atera_breast_wta	Giotto	bounded_subset_result	appendix	pilot50k	common-db	/data/taobo.hu/pyxenium_lr_benchmark_2026-04/runs/pilot50k_common/giotto_real_retry_maxcells/giotto_standardized.tsv.gz	1151351		Full 170k hit R Matrix/TsparseMatrix 2^31-1 limit; keep 50k bounded result and method-card evidence.
atera_breast_wta	SpaTalk	bounded_subset_result	appendix	smoke20k	common-db	/data/taobo.hu/pyxenium_lr_benchmark_2026-04/runs/final_closeout_20260511/a100_rescue/spatalk/smoke20k/spatalk_standardized.tsv.gz	37532		SpaTalk smoke20k completed 66/66 chunks and was aggregated; pilot50k chunk_000_0000_0050 was terminated by the A100 low-memory guard four times, so smoke20k is preserved as bounded terminal evidence and no further automatic restart is scheduled.
atera_breast_wta	NICHES	bounded_subset_result	appendix	pilot50k	common-db	/data/taobo.hu/pyxenium_lr_benchmark_2026-04/runs/final_closeout_20260511/a100_rescue/niches/pilot50k/niches_standardized.tsv.gz	1181042		Full170k was stopped for A100 memory safety; pilot50k bounded rescue completed 33/33 chunks and was aggregated, peak RSS about 108GB.
atera_breast_wta	CellNEST	bounded_subset_result	appendix	pilot50k	common-db	/data/taobo.hu/pyxenium_lr_benchmark_2026-04/runs/bounded_rescue/cellnest/pilot50k/cellnest_standardized.tsv.gz	157553		50k bounded result succeeded; full 170k was killed by resources.
atera_breast_wta	CellAgentChat	bounded_subset_result	appendix	pilot50k	common-db	/data/taobo.hu/pyxenium_lr_benchmark_2026-04/runs/bounded_rescue/cellagentchat/pilot50k/cellagentchat_standardized.tsv.gz	1143543		Full170k was resource_exceeded; pilot50k 16/16 chunks succeeded and were aggregated.
atera_breast_wta	SCILD	bounded_subset_result	appendix	smoke3k	common-db	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\results\failure_card_reopen_20260519\a100_collected\scild_reopen_20260519\scild_3000cells_20pairs_py311_manifest_alias\scild_standardized.tsv.gz	2880		SCILD official source was rerun on A100 in a dedicated Python 3.11 environment; bounded 3000-cell x 20-pair ligand-diffusion run succeeded with 2880 standardized rows, peak RSS about 18.9GB, runtime about 116s.
atera_breast_wta	FastCCC	bounded_subset_result	appendix	smoke20k	common-db	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\results\expanded_methods_a100_20260514\a100_collected\expanded_methods_a100_20260514\fastccc\smoke20k\standardized.tsv.gz	1319600		A100 retry succeeded after PDC failure; FastCCC analytic nonspatial expression baseline completed 20k smoke and produced the full celltype-pair x common-resource standardized table.
atera_breast_wta	Copulacci	bounded_subset_result	appendix	smoke20k	common-db	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\results\failure_card_reopen_20260519\a100_collected\copulacci_real_20k_200pairs\standardized.tsv.gz	13981		A100 real-method retry succeeded with official copulacci.model2.run_scc on 20k cells x top 200 CCI pairs x top 80 celltype groups; 50k expansion was stopped because Copulacci materializes dense spatial adjacency and triggered memory risk.
atera_breast_wta	NicheNet	bounded_subset_result	appendix	smoke20k	common-db	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\results\failure_card_reopen_20260519\a100_collected\nichenet_conda_retry\smoke20k\standardized.tsv.gz	215542		NicheNet was rerun in a clean A100 R environment with the official saeyslab/nichenetr package and the official Zenodo v2 ligand-target matrix; bounded 20k downstream receiver-response support completed successfully. It remains an appendix downstream-support method, not a direct spatial CCI ranker.
atera_cervical_wta	TopoLink-CCI	full_result	cross_dataset	full	common-db	/cfs/klemming/scratch/h/hutaobo/pyxenium_cci_benchmark_2026-04/datasets/atera_cervical_wta/runs/full_common/pyxenium/pyxenium_standardized.tsv	2404971	20207609	Prepare, smoke, pilot, and full common-db completed; full top hit DSC2-DSG3 Differentiating Tumor Cells -> Differentiating Tumor Cells.
